Epoch,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1
1,2.327249240130186,0.28536041615060687,0.28536041615060687,0.28536041615060687,0.28536041615060687,2.060857355594635,0.49789621318373073,0.49789621318373073,0.49789621318373073,0.49789621318373073
2,1.4522924153134227,0.5910329452563785,0.5910329452563785,0.5910329452563785,0.5910329452563785,0.7577513108650843,0.7952314165497896,0.7952314165497896,0.7952314165497896,0.7952314165497896
3,0.6027835016138852,0.8080257617042358,0.8080257617042358,0.8080257617042358,0.8080257617042358,0.3359285406768322,0.884992987377279,0.884992987377279,0.884992987377279,0.884992987377279
4,0.3331770070362836,0.8902650483031954,0.8902650483031954,0.8902650483031954,0.8902650483031954,0.23841355865200362,0.9172510518934082,0.9172510518934082,0.9172510518934082,0.9172510518934082
5,0.2599531366722658,0.9071092395343077,0.9071092395343077,0.9071092395343077,0.9071092395343077,0.2173028259227673,0.9228611500701263,0.9228611500701263,0.9228611500701263,0.9228611500701263
6,0.20847488555591553,0.9279167698786227,0.9279167698786227,0.9279167698786227,0.9279167698786227,0.1868754755705595,0.9298737727910238,0.9298737727910238,0.9298737727910238,0.9298737727910238
7,0.1777181422803551,0.9301461481297993,0.9301461481297993,0.9301461481297993,0.9301461481297993,0.1721223977704843,0.9438990182328191,0.9438990182328191,0.9438990182328191,0.9438990182328191
8,0.15963037800975144,0.9492197176120882,0.9492197176120882,0.9492197176120882,0.9492197176120882,0.1631064253548781,0.9396914446002805,0.9396914446002805,0.9396914446002805,0.9396914446002805
9,0.14225700008682907,0.9524399306415655,0.9524399306415655,0.9524399306415655,0.9524399306415655,0.15019110031425953,0.9453015427769986,0.9453015427769986,0.9453015427769986,0.9453015427769986
10,0.12231477920431644,0.9571463958384939,0.9571463958384939,0.9571463958384939,0.9571463958384939,0.14881847923000655,0.9509116409537167,0.9509116409537167,0.9509116409537167,0.9509116409537167
11,0.10136549873277545,0.964082239286599,0.964082239286599,0.964082239286599,0.964082239286599,0.13393594386676946,0.9523141654978962,0.9523141654978962,0.9523141654978962,0.9523141654978963
12,0.09753782241023146,0.9692841218726778,0.9692841218726778,0.9692841218726778,0.9692841218726778,0.14184995895872513,0.9495091164095372,0.9495091164095372,0.9495091164095372,0.9495091164095372
13,0.08309339321567677,0.9744860044587565,0.9744860044587565,0.9744860044587565,0.9744860044587565,0.12880174784610668,0.9579242636746143,0.9579242636746143,0.9579242636746143,0.9579242636746143
14,0.09781880091759376,0.9747337131533317,0.9747337131533317,0.9747337131533317,0.9747337131533317,0.14824720285832882,0.9509116409537167,0.9509116409537167,0.9509116409537167,0.9509116409537167
15,0.07973731379024684,0.9754768392370572,0.9754768392370572,0.9754768392370572,0.9754768392370572,0.15138608869165182,0.9523141654978962,0.9523141654978962,0.9523141654978962,0.9523141654978963
16,0.07581656897673383,0.9752291305424821,0.9752291305424821,0.9752291305424821,0.9752291305424821,0.12722067690143982,0.9579242636746143,0.9579242636746143,0.9579242636746143,0.9579242636746143
17,0.06938672310207039,0.9757245479316324,0.9757245479316324,0.9757245479316324,0.9757245479316324,0.13289043679833412,0.9551192145862553,0.9551192145862553,0.9551192145862553,0.9551192145862553
18,0.05626342611503787,0.983403517463463,0.983403517463463,0.983403517463463,0.983403517463463,0.13014324878652891,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348
19,0.06591880385531113,0.9826603913797374,0.9826603913797374,0.9826603913797374,0.9826603913797374,0.1176402826483051,0.9593267882187938,0.9593267882187938,0.9593267882187938,0.9593267882187938
20,0.05636209363001399,0.9824126826851622,0.9824126826851622,0.9824126826851622,0.9824126826851622,0.11651686703165372,0.9621318373071529,0.9621318373071529,0.9621318373071529,0.9621318373071529
21,0.06809184889425524,0.9853851870200644,0.9853851870200644,0.9853851870200644,0.9853851870200644,0.12011251008758943,0.9607293127629734,0.9607293127629734,0.9607293127629734,0.9607293127629734
22,0.0718961728271097,0.9858806044092148,0.9858806044092148,0.9858806044092148,0.9858806044092148,0.13348896273722252,0.9593267882187938,0.9593267882187938,0.9593267882187938,0.9593267882187938
23,0.03930269306874834,0.9871191478820907,0.9871191478820907,0.9871191478820907,0.9871191478820907,0.12029313730696838,0.9607293127629734,0.9607293127629734,0.9607293127629734,0.9607293127629734
24,0.04541796082048677,0.9881099826603914,0.9881099826603914,0.9881099826603914,0.9881099826603914,0.12707304768264294,0.9537166900420757,0.9537166900420757,0.9537166900420757,0.9537166900420757
25,0.03008728488930501,0.990339360911568,0.990339360911568,0.990339360911568,0.990339360911568,0.12926213971028724,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348
26,0.036863553745206445,0.9886054000495418,0.9886054000495418,0.9886054000495418,0.9886054000495418,0.11630328403164943,0.9635343618513323,0.9635343618513323,0.9635343618513323,0.9635343618513323
27,0.0287148081115447,0.9920733217735943,0.9920733217735943,0.9920733217735943,0.9920733217735943,0.12654485941554108,0.9635343618513323,0.9635343618513323,0.9635343618513323,0.9635343618513323
28,0.0306363673589658,0.9908347783007183,0.9908347783007183,0.9908347783007183,0.9908347783007183,0.1239399431894223,0.9593267882187938,0.9593267882187938,0.9593267882187938,0.9593267882187938
29,0.0261717653775122,0.9913301956898687,0.9913301956898687,0.9913301956898687,0.9913301956898687,0.12816764755795398,0.9593267882187938,0.9593267882187938,0.9593267882187938,0.9593267882187938
30,0.023253734252648428,0.9935595739410453,0.9935595739410453,0.9935595739410453,0.9935595739410453,0.13153016474097967,0.9607293127629734,0.9607293127629734,0.9607293127629734,0.9607293127629734
31,0.031280758179491386,0.9915779043844439,0.9915779043844439,0.9915779043844439,0.9915779043844439,0.1303998644774159,0.9593267882187938,0.9593267882187938,0.9593267882187938,0.9593267882187938
32,0.02180252829566598,0.9950458261084965,0.9950458261084965,0.9950458261084965,0.9950458261084965,0.13066948050012192,0.9621318373071529,0.9621318373071529,0.9621318373071529,0.9621318373071529
33,0.03236714025842957,0.993064156551895,0.993064156551895,0.993064156551895,0.993064156551895,0.12777104601264,0.9635343618513323,0.9635343618513323,0.9635343618513323,0.9635343618513323
34,0.021980089659336954,0.9933118652464702,0.9933118652464702,0.9933118652464702,0.9933118652464702,0.1207536921525995,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871
35,0.032310642360243946,0.993064156551895,0.993064156551895,0.993064156551895,0.993064156551895,0.12140397975842158,0.9635343618513323,0.9635343618513323,0.9635343618513323,0.9635343618513323
36,0.02317083379602991,0.9920733217735943,0.9920733217735943,0.9920733217735943,0.9920733217735943,0.13034449238330126,0.9635343618513323,0.9635343618513323,0.9635343618513323,0.9635343618513323
37,0.0605208097549621,0.9928164478573198,0.9928164478573198,0.9928164478573198,0.9928164478573198,0.14277479176719984,0.9579242636746143,0.9579242636746143,0.9579242636746143,0.9579242636746143
38,0.032737791450927034,0.993064156551895,0.993064156551895,0.993064156551895,0.993064156551895,0.15192429473002753,0.9579242636746143,0.9579242636746143,0.9579242636746143,0.9579242636746143
39,0.03025976161006838,0.9933118652464702,0.9933118652464702,0.9933118652464702,0.9933118652464702,0.13977497660865387,0.9607293127629734,0.9607293127629734,0.9607293127629734,0.9607293127629734
40,0.023920313926282688,0.9923210304681694,0.9923210304681694,0.9923210304681694,0.9923210304681694,0.15876673658688864,0.9537166900420757,0.9537166900420757,0.9537166900420757,0.9537166900420757
41,0.026248342444887385,0.9935595739410453,0.9935595739410453,0.9935595739410453,0.9935595739410453,0.14693423453718424,0.9579242636746143,0.9579242636746143,0.9579242636746143,0.9579242636746143
