Epoch,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1
1,2.2388940017685117,0.21897448600445876,0.21897448600445876,0.21897448600445876,0.21897448600445876,1.856872828801473,0.3436185133239832,0.3436185133239832,0.3436185133239832,0.3436185133239832
2,1.819561381585042,0.36487490710923953,0.36487490710923953,0.36487490710923953,0.36487490710923953,1.6312540080812243,0.4488078541374474,0.4488078541374474,0.4488078541374474,0.4488078541374474
3,1.612425409758044,0.43150854594996285,0.43150854594996285,0.43150854594996285,0.43150854594996285,1.4480662756496006,0.4894810659186536,0.4894810659186536,0.4894810659186536,0.4894810659186536
4,1.5286076982973122,0.46767401535793907,0.46767401535793907,0.46767401535793907,0.46767401535793907,1.4786429974767896,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355
5,1.4323327522504,0.4971513500123854,0.4971513500123854,0.4971513500123854,0.4971513500123854,1.614572458797031,0.4417952314165498,0.4417952314165498,0.4417952314165498,0.4417952314165498
6,1.3935663652985464,0.5120138716868962,0.5120138716868962,0.5120138716868962,0.5120138716868962,1.4264800084961786,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355
7,1.3720629667576123,0.5313351498637602,0.5313351498637602,0.5313351498637602,0.5313351498637602,1.439133706357744,0.4964936886395512,0.4964936886395512,0.4964936886395512,0.4964936886395512
8,1.3135064524624187,0.5506564280406242,0.5506564280406242,0.5506564280406242,0.5506564280406242,1.696771232287089,0.38288920056100983,0.38288920056100983,0.38288920056100983,0.38288920056100983
9,1.2655983659118533,0.5603170671290563,0.5603170671290563,0.5603170671290563,0.5603170671290563,1.2489608579211764,0.5680224403927069,0.5680224403927069,0.5680224403927069,0.5680224403927069
10,1.2471840607790137,0.5665097844934357,0.5665097844934357,0.5665097844934357,0.5665097844934357,1.30691931909985,0.5483870967741935,0.5483870967741935,0.5483870967741935,0.5483870967741935
11,1.2355178976247434,0.5764181322764429,0.5764181322764429,0.5764181322764429,0.5764181322764429,1.175551986694336,0.5946704067321178,0.5946704067321178,0.5946704067321178,0.5946704067321178
12,1.1950735631196394,0.5895466930889274,0.5895466930889274,0.5895466930889274,0.5895466930889274,1.3518662081824409,0.5091164095371669,0.5091164095371669,0.5091164095371669,0.5091164095371669
13,1.1619280265725178,0.5997027495665098,0.5997027495665098,0.5997027495665098,0.5997027495665098,1.2087796979480319,0.5778401122019635,0.5778401122019635,0.5778401122019635,0.5778401122019635
14,1.1101251661541904,0.6237304929403023,0.6237304929403023,0.6237304929403023,0.6237304929403023,1.1990707768334283,0.5806451612903226,0.5806451612903226,0.5806451612903226,0.5806451612903226
15,1.1276186490247373,0.6155561060193213,0.6155561060193213,0.6155561060193213,0.6155561060193213,1.320806117852529,0.5483870967741935,0.5483870967741935,0.5483870967741935,0.5483870967741935
16,1.0927943886504343,0.6264552885806292,0.6264552885806292,0.6264552885806292,0.6264552885806292,1.1923147373729281,0.5708274894810659,0.5708274894810659,0.5708274894810659,0.5708274894810659
17,1.062784985355709,0.6356205102799108,0.6356205102799108,0.6356205102799108,0.6356205102799108,1.0541323728031582,0.6241234221598878,0.6241234221598878,0.6241234221598878,0.6241234221598878
18,1.0397160661079197,0.6472628189249443,0.6472628189249443,0.6472628189249443,0.6472628189249443,1.2346783214145236,0.5806451612903226,0.5806451612903226,0.5806451612903226,0.5806451612903226
19,1.0288178124446643,0.6460242754520684,0.6460242754520684,0.6460242754520684,0.6460242754520684,1.321760062376658,0.5455820476858345,0.5455820476858345,0.5455820476858345,0.5455820476858345
20,1.0155845701458897,0.6556849145405004,0.6556849145405004,0.6556849145405004,0.6556849145405004,1.0748846729596455,0.6311360448807855,0.6311360448807855,0.6311360448807855,0.6311360448807855
21,0.979753812782378,0.6730245231607629,0.6730245231607629,0.6730245231607629,0.6730245231607629,1.246168898211585,0.5694249649368864,0.5694249649368864,0.5694249649368864,0.5694249649368864
22,0.953622996100324,0.6757493188010899,0.6757493188010899,0.6757493188010899,0.6757493188010899,1.1358307997385662,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131
23,0.9436638713354178,0.6782264057468417,0.6782264057468417,0.6782264057468417,0.6782264057468417,1.1307640022701688,0.6199158485273493,0.6199158485273493,0.6199158485273493,0.6199158485273493
24,0.9241493054529424,0.6814466187763191,0.6814466187763191,0.6814466187763191,0.6814466187763191,1.246560153696272,0.5539971949509116,0.5539971949509116,0.5539971949509116,0.5539971949509116
25,0.9065555890087083,0.686896210056973,0.686896210056973,0.686896210056973,0.686896210056973,1.0381113780869378,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783
26,0.8868134488230166,0.7017587317314837,0.7017587317314837,0.7017587317314837,0.7017587317314837,1.0435153404871622,0.638148667601683,0.638148667601683,0.638148667601683,0.638148667601683
27,0.8674123869111887,0.7106762447361903,0.7106762447361903,0.7106762447361903,0.7106762447361903,1.1226313286357457,0.6171107994389902,0.6171107994389902,0.6171107994389902,0.6171107994389902
28,0.8796154658784979,0.6997770621748823,0.6997770621748823,0.6997770621748823,0.6997770621748823,1.266100048356586,0.5708274894810659,0.5708274894810659,0.5708274894810659,0.5708274894810659
29,0.841667178826841,0.7146395838493931,0.7146395838493931,0.7146395838493931,0.7146395838493931,1.2462611065970526,0.5638148667601683,0.5638148667601683,0.5638148667601683,0.5638148667601683
30,0.8147162533560289,0.725538766410701,0.725538766410701,0.725538766410701,0.725538766410701,1.0973931736416287,0.6143057503506312,0.6143057503506312,0.6143057503506312,0.6143057503506312
31,0.7928833602209807,0.7339608620262571,0.7339608620262571,0.7339608620262571,0.7339608620262572,1.0750717063744863,0.6241234221598878,0.6241234221598878,0.6241234221598878,0.6241234221598878
32,0.7905251937421415,0.733713153331682,0.733713153331682,0.733713153331682,0.7337131533316819,1.0219087534480624,0.6563814866760168,0.6563814866760168,0.6563814866760168,0.6563814866760168
33,0.7605223822970635,0.7423829576418133,0.7423829576418133,0.7423829576418133,0.7423829576418133,1.0283912751409743,0.6367461430575035,0.6367461430575035,0.6367461430575035,0.6367461430575035
34,0.7436577211255613,0.753034431508546,0.753034431508546,0.753034431508546,0.753034431508546,0.9917083991898431,0.6563814866760168,0.6563814866760168,0.6563814866760168,0.6563814866760168
35,0.7142609713577,0.7552638097597225,0.7552638097597225,0.7552638097597225,0.7552638097597225,0.9984720057911343,0.6409537166900421,0.6409537166900421,0.6409537166900421,0.6409537166900421
36,0.7272381542228428,0.7592271488729254,0.7592271488729254,0.7592271488729254,0.7592271488729254,1.0761786590019862,0.6100981767180925,0.6100981767180925,0.6100981767180925,0.6100981767180925
37,0.7042871817298557,0.7542729749814219,0.7542729749814219,0.7542729749814219,0.7542729749814219,1.0315404935015573,0.6409537166900421,0.6409537166900421,0.6409537166900421,0.6409537166900421
38,0.6751920352340216,0.7688877879613575,0.7688877879613575,0.7688877879613575,0.7688877879613576,0.963761505153444,0.667601683029453,0.667601683029453,0.667601683029453,0.667601683029453
39,0.6399285945260949,0.7787961357443647,0.7787961357443647,0.7787961357443647,0.7787961357443648,1.0310850964652167,0.6395511921458625,0.6395511921458625,0.6395511921458625,0.6395511921458625
40,0.6133836517220901,0.7894476096110974,0.7894476096110974,0.7894476096110974,0.7894476096110974,0.9610611915588378,0.6732117812061711,0.6732117812061711,0.6732117812061711,0.6732117812061711
41,0.6122874056868873,0.7941540748080258,0.7941540748080258,0.7941540748080258,0.7941540748080258,0.973967499865426,0.6661991584852734,0.6661991584852734,0.6661991584852734,0.6661991584852734
42,0.5987096286338308,0.8015853356452811,0.8015853356452811,0.8015853356452811,0.8015853356452811,1.0343406021595,0.6367461430575035,0.6367461430575035,0.6367461430575035,0.6367461430575035
43,0.5917208001547651,0.7956403269754768,0.7956403269754768,0.7956403269754768,0.7956403269754768,0.897679062684377,0.6928471248246845,0.6928471248246845,0.6928471248246845,0.6928471248246845
44,0.5752654087402133,0.8057963834530592,0.8057963834530592,0.8057963834530592,0.8057963834530592,0.9693567203150855,0.6830294530154277,0.6830294530154277,0.6830294530154277,0.6830294530154277
45,0.5512943662437997,0.8132276442903146,0.8132276442903146,0.8132276442903146,0.8132276442903146,0.9621759388181899,0.6605890603085554,0.6605890603085554,0.6605890603085554,0.6605890603085554
46,0.5471482909479631,0.8057963834530592,0.8057963834530592,0.8057963834530592,0.8057963834530592,1.0855141778786976,0.6535764375876578,0.6535764375876578,0.6535764375876578,0.6535764375876578
47,0.5198163860164612,0.8228882833787466,0.8228882833787466,0.8228882833787466,0.8228882833787466,0.9768409430980682,0.6746143057503506,0.6746143057503506,0.6746143057503506,0.6746143057503506
48,0.4995853040411538,0.8340351746346297,0.8340351746346297,0.8340351746346297,0.8340351746346297,0.9504689342445798,0.6858345021037868,0.6858345021037868,0.6858345021037868,0.6858345021037868
49,0.5176001910871196,0.8176864007926679,0.8176864007926679,0.8176864007926679,0.8176864007926679,0.9621640728579627,0.6718092566619915,0.6718092566619915,0.6718092566619915,0.6718092566619915
50,0.4799048094881382,0.8384939311369829,0.8384939311369829,0.8384939311369829,0.8384939311369829,1.079056348403295,0.6619915848527349,0.6619915848527349,0.6619915848527349,0.6619915848527349
51,0.4563317055051977,0.8404756006935843,0.8404756006935843,0.8404756006935843,0.8404756006935843,0.9427421179082659,0.6844319775596073,0.6844319775596073,0.6844319775596073,0.6844319775596073
52,0.44244354221189447,0.8543472875897944,0.8543472875897944,0.8543472875897944,0.8543472875897945,0.9219221144914627,0.7166900420757363,0.7166900420757363,0.7166900420757363,0.7166900420757363
53,0.4202581285370197,0.8553381223680951,0.8553381223680951,0.8553381223680951,0.8553381223680951,0.9737445798185137,0.6816269284712483,0.6816269284712483,0.6816269284712483,0.6816269284712483
54,0.398323784585998,0.8679712657914292,0.8679712657914292,0.8679712657914292,0.8679712657914292,0.885399889614847,0.6984572230014026,0.6984572230014026,0.6984572230014026,0.6984572230014026
55,0.39459627907973505,0.8672281397077037,0.8672281397077037,0.8672281397077037,0.8672281397077038,1.01762352320883,0.6619915848527349,0.6619915848527349,0.6619915848527349,0.6619915848527349
56,0.4300113299736392,0.8521179093386178,0.8521179093386178,0.8521179093386178,0.8521179093386178,0.9066228065225813,0.699859747545582,0.699859747545582,0.699859747545582,0.699859747545582
57,0.37115275583012775,0.8776319048798613,0.8776319048798613,0.8776319048798613,0.8776319048798613,0.8805711600515578,0.7124824684431977,0.7124824684431977,0.7124824684431977,0.7124824684431976
58,0.3601957548100487,0.875897944017835,0.875897944017835,0.875897944017835,0.875897944017835,0.9278653572003047,0.7040673211781207,0.7040673211781207,0.7040673211781207,0.7040673211781207
59,0.3462448406949816,0.8848154570225415,0.8848154570225415,0.8848154570225415,0.8848154570225415,0.9455317788653903,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.6956521739130435
60,0.34359731737215055,0.8815952439930641,0.8815952439930641,0.8815952439930641,0.8815952439930641,0.9881982326507568,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.6774193548387096
61,0.3377095466192532,0.8838246222442407,0.8838246222442407,0.8838246222442407,0.8838246222442406,0.875893176264233,0.7180925666199158,0.7180925666199158,0.7180925666199158,0.7180925666199157
