Epoch,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1
1,1.5505619402974844,0.5481793410948724,0.5481793410948724,0.5481793410948724,0.5481793410948724,0.7354523440202078,0.7938288920056101,0.7938288920056101,0.7938288920056101,0.7938288920056101
2,0.4888174687512219,0.8796135744364627,0.8796135744364627,0.8796135744364627,0.8796135744364627,0.31915129472812015,0.9200561009817672,0.9200561009817672,0.9200561009817672,0.9200561009817672
3,0.26503633987158537,0.9311369829081001,0.9311369829081001,0.9311369829081001,0.9311369829081001,0.23868465920289358,0.938288920056101,0.938288920056101,0.938288920056101,0.938288920056101
4,0.19885808252729475,0.9455040871934605,0.9455040871934605,0.9455040871934605,0.9455040871934605,0.20873218650619188,0.9509116409537167,0.9509116409537167,0.9509116409537167,0.9509116409537167
5,0.13609499670565128,0.9621005697299975,0.9621005697299975,0.9621005697299975,0.9621005697299975,0.17886317428201437,0.9537166900420757,0.9537166900420757,0.9537166900420757,0.9537166900420757
6,0.11488675849977881,0.9670547436215011,0.9670547436215011,0.9670547436215011,0.9670547436215011,0.1755417985841632,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348
7,0.09310996293788776,0.9782016348773842,0.9782016348773842,0.9782016348773842,0.9782016348773842,0.187312555188934,0.9438990182328191,0.9438990182328191,0.9438990182328191,0.9438990182328191
8,0.07131868466967717,0.9829081000743126,0.9829081000743126,0.9829081000743126,0.9829081000743126,0.17492561088874936,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348
9,0.053641832259017974,0.9856328957146396,0.9856328957146396,0.9856328957146396,0.9856328957146396,0.16579128925999007,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348
10,0.060719536762917414,0.9856328957146396,0.9856328957146396,0.9856328957146396,0.9856328957146396,0.1675962113464872,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348
11,0.057721442135516554,0.989100817438692,0.989100817438692,0.989100817438692,0.989100817438692,0.17481992362687984,0.9621318373071529,0.9621318373071529,0.9621318373071529,0.9621318373071529
12,0.042423873353982344,0.9923210304681694,0.9923210304681694,0.9923210304681694,0.9923210304681694,0.17482344961414734,0.9649368863955119,0.9649368863955119,0.9649368863955119,0.9649368863955119
13,0.043960332084679976,0.9925687391627446,0.9925687391627446,0.9925687391627446,0.9925687391627446,0.18717394373379648,0.9635343618513323,0.9635343618513323,0.9635343618513323,0.9635343618513323
14,0.06029158772435039,0.9908347783007183,0.9908347783007183,0.9908347783007183,0.9908347783007183,0.1729640026266376,0.9635343618513323,0.9635343618513323,0.9635343618513323,0.9635343618513323
15,0.04583293604082428,0.9918256130790191,0.9918256130790191,0.9918256130790191,0.9918256130790191,0.16939420128862062,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871
16,0.03309507612721063,0.9943027000247708,0.9943027000247708,0.9943027000247708,0.9943027000247708,0.19512349739670753,0.9593267882187938,0.9593267882187938,0.9593267882187938,0.9593267882187938
17,0.022588937921682373,0.9950458261084965,0.9950458261084965,0.9950458261084965,0.9950458261084965,0.18437436564515033,0.9621318373071529,0.9621318373071529,0.9621318373071529,0.9621318373071529
18,0.017537406354676932,0.9977706217488234,0.9977706217488234,0.9977706217488234,0.9977706217488234,0.1774270001333207,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871
19,0.01602433220250532,0.9980183304433986,0.9980183304433986,0.9980183304433986,0.9980183304433986,0.1903048555056254,0.97054698457223,0.97054698457223,0.97054698457223,0.97054698457223
20,0.02632260136306286,0.9962843695813723,0.9962843695813723,0.9962843695813723,0.9962843695813723,0.18628488609101623,0.9635343618513323,0.9635343618513323,0.9635343618513323,0.9635343618513323
21,0.014337178668938577,0.9970274956650979,0.9970274956650979,0.9970274956650979,0.9970274956650979,0.21047045779414475,0.9621318373071529,0.9621318373071529,0.9621318373071529,0.9621318373071529
22,0.010900447436142713,0.9987614565271241,0.9987614565271241,0.9987614565271241,0.9987614565271241,0.1821264791263578,0.9747545582047685,0.9747545582047685,0.9747545582047685,0.9747545582047685
23,0.014297565852757543,0.9982660391379737,0.9982660391379737,0.9982660391379737,0.9982660391379737,0.18413841957226396,0.9719495091164095,0.9719495091164095,0.9719495091164095,0.9719495091164095
24,0.019615355704445392,0.9975229130542482,0.9975229130542482,0.9975229130542482,0.9975229130542482,0.17258291218119362,0.9719495091164095,0.9719495091164095,0.9719495091164095,0.9719495091164095
25,0.009238724218448624,0.9987614565271241,0.9987614565271241,0.9987614565271241,0.9987614565271241,0.19734588315865645,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871
26,0.01641691252007149,0.9982660391379737,0.9982660391379737,0.9982660391379737,0.9982660391379737,0.180059494683519,0.9663394109396914,0.9663394109396914,0.9663394109396914,0.9663394109396914
27,0.021294571284670383,0.9945504087193461,0.9945504087193461,0.9945504087193461,0.9945504087193461,0.18260460222760835,0.9621318373071529,0.9621318373071529,0.9621318373071529,0.9621318373071529
28,0.00843927139067091,1.0,1.0,1.0,1.0,0.20677535992581397,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871
29,0.015204215655103326,0.9982660391379737,0.9982660391379737,0.9982660391379737,0.9982660391379737,0.18588925075406829,0.9733520336605891,0.9733520336605891,0.9733520336605891,0.9733520336605891
30,0.02241155129740946,0.9965320782759475,0.9965320782759475,0.9965320782759475,0.9965320782759475,0.2018899858618776,0.9635343618513323,0.9635343618513323,0.9635343618513323,0.9635343618513323
31,0.012006057251710445,0.9992568739162745,0.9992568739162745,0.9992568739162745,0.9992568739162745,0.20964213421878716,0.9621318373071529,0.9621318373071529,0.9621318373071529,0.9621318373071529
32,0.013013024945394136,0.9970274956650979,0.9970274956650979,0.9970274956650979,0.9970274956650979,0.1801272335772713,0.9649368863955119,0.9649368863955119,0.9649368863955119,0.9649368863955119
